Cen_1991,Neighbour,TransactionAmt
301100000,302102000,5
301100000,301200001,5
301100000,301121,5
301100000,301128,5
301100000,301129,5
302100000,302114,5
302100000,302122,5
302100000,302126,5
302100000,302113,5
302100000,302121,5
302100000,302123,5
302100000,302201000,5
302100000,302136,5
301101000,30144,5
301101000,30147,5
301101000,30149,5
301101000,30148,5
301101000,301412,5
301101000,301411,5
301101000,301416,5
301102000,301213,5
301102000,301214,5
301102000,301215,5
301102000,301233,5
301102000,301235,5
301102000,301103000,5
301102000,301234,5
302101000,30252,5
302101000,30253,5
302101000,30254,5
301103000,301102000,5
301103000,301234,5
302211000,302210001,5
302211000,30221,5
302103000,30223,5
302103000,30222,5
302103000,30211,5
302103000,30224,5
302104000,302132,5
302104000,302133,5
302104000,302131,5
302104000,302415,5
302104000,302139,5
302104000,302416,5
302104000,302417,5
302104000,302142,5
302104000,302418,5
302104000,302422,5
302105000,301631,5
302105000,302317,5
302105000,30244,5
302105000,302330,5
302105000,302331,5
302105000,30245,5
302105000,302108000,5
302105000,302332,5
302105000,30249,5
302105000,302410,5
301104000,301106000,5
301104000,301217,5
301104000,301219,5
301104000,301218,5
301104000,301216,5
301104000,30133,5
301104000,301231,5
301104000,301232,5
301104000,301233,5
301105000,30163,5
301105000,30162,5
301105000,301112,5
301105000,30119,5
301105000,301110,5
301106000,30123,5
301106000,301210,5
301106000,301112000,5
301106000,301212,5
301106000,301211,5
301106000,301223,5
301106000,301217,5
301106000,301219,5
301106000,301218,5
301106000,301104000,5
302200001,30215,5
302200001,302107000,5
302200001,302119,5
302200001,302114,5
302200001,302126,5
302200001,302120,5
302200001,302212,5
302210001,302211000,5
302210001,30221,5
302210001,30227,5
302201000,302126,5
302201000,302100000,5
302201000,302124,5
302201000,302125,5
302201000,302136,5
301107000,30222,5
301107000,30224,5
301107000,30228,5
301200001,301100000,5
301108000,30112,5
301108000,301237,5
301108000,301236,5
301108000,301111000,5
301109000,30135,5
301109000,301322,5
301109000,301324,5
301109000,301327,5
301110000,301615,5
301110000,301620,5
301110000,301625,5
301110000,301624,5
302106000,30245,5
302106000,30246,5
302106000,30247,5
302106000,30248,5
302106000,302131,5
302106000,30249,5
302106000,302415,5
302106000,302346,5
302106000,302416,5
302107000,302116,5
302107000,30213,5
302107000,30215,5
302107000,302119,5
302107000,302200001,5
301111000,301236,5
301111000,301235,5
301111000,301108000,5
301111000,301234,5
302108000,302105000,5
302108000,302331,5
302108000,302335,5
302108000,302332,5
301112000,30122,5
301112000,30123,5
301112000,30121,5
301112000,301212,5
301112000,301106000,5
301112000,301211,5
301113000,301527,5
301113000,301541,5
301113000,301542,5
301113000,301540,5
301113000,301543,5
301113000,301539,5
301113000,301552,5
301113000,301550,5
301113000,301427,5
301113000,301551,5
301113000,301560,5
301113000,301561,5
