Census_ID,Long,Lat
302101000,74.04006,15.0095
302104000,74.01407,15.1868
302106000,74.07371,15.20472
302108000,74.15211,15.22849
302105000,74.11596,15.24161
302201000,73.96183,15.25359
302100000,73.9362,15.258
302200001,73.9688,15.28498
302107000,73.98388,15.30903
301107000,73.88573,15.36644
302103000,73.91616,15.3841
302210001,73.81765,15.385992
302211000,73.82422,15.3996
301110000,74.00979,15.40195
301200001,73.81759,15.47165
301100000,73.85665,15.47721
301111000,73.81505,15.50728
301103000,73.77142,15.511
301108000,73.83678,15.51606
301113000,74.14072,15.53145
301105000,73.9444,15.53295
301102000,73.76704,15.54425
301104000,73.80621,15.570201
301101000,73.94947,15.595
301106000,73.81521,15.60173
301112000,73.78725,15.62479
301109000,73.77577,15.66638
