Census_ID,Name,Population,Pop. Density,Type,,,
301100000,Bambolim,4955,64856.02094,VI,,,
302100000,Benaulim,9898,97229.86248,V,,,
301102000,Calangute,11925,101749.1468,IV,,,
301103000,Candolim,7108,102126.4368,V,,,
302211000,Chicalim,7062,57980.29557,V,,,
302105000,Curchorem Cacora,18489,81991.13082,IV,,,`
301104000,Guirim,4795,118982.6303,VI,,,
301106000,Mapusa,31667,279743.8163,III,,,
302200001,Margao,58951,391700.9967,II,,,
302210001,Mormugao,83367,304592.6197,II,,,
302201000,Navelim (Urban),7819,148933.3333,V,,,
301200001,Panaji,43349,191555.4574,III,,,
301108000,Penha de Franca,11546,213025.8303,IV,,,
302107000,Raia,7845,52369.82644,V,,,
301111000,Reis Magos,7504,98607.09593,V,,,
302108000,Sanguem,6198,125975.6098,V,,,
301112000,Siolim,9770,79950.90016,V,,,
,,,,,,,
